OccupationTitle,MedianWeeklySalary
Total full-time wage and salary workers,886
Management professional and related occupations,1246
Management business and financial operations occupations,1355
Management occupations,1429
Chief executives,2291
General and operations managers,1338
Legislators,-
Advertising and promotions managers,-
Marketing and sales managers,1567
Public relations and fundraising managers,1415
Administrative services managers,1215
Computer and information systems managers,1877
Financial managers,1466
Compensation and benefits managers,-
Human resources managers,1381
Training and development managers,1448
Industrial production managers,1465
Purchasing managers,1362
Transportation storage and distribution managers,1131
Farmers ranchers and other agricultural managers,945
Construction managers,1431
Education administrators,1381
Architectural and engineering managers,2226
Food service managers,809
Funeral service managers,-
Gaming managers,-
Lodging managers,955
Medical and health services managers,1408
Natural sciences managers,-
Postmasters and mail superintendents,-
Property real estate and community association managers,1018
Social and community service managers,1141
Emergency management directors,-
Managers all other,1525
Business and financial operations occupations,1216
Agents and business managers of artists performers and athletes,-
Buyers and purchasing agents farm products,-
Wholesale and retail buyers except farm products,878
Purchasing agents except wholesale retail and farm products,1160
Claims adjusters appraisers examiners and investigators,998
Compliance officers,1296
Cost estimators,1165
Human resources workers,1161
Compensation benefits and job analysis specialists,-
Training and development specialists,1092
Logisticians,1019
Management analysts,1532
Meeting convention and event planners,1002
Fundraisers,1262
Market research analysts and marketing specialists,1246
Business operations specialists all other,1150
Accountants and auditors,1209
Appraisers and assessors of real estate,-
Budget analysts,1351
Credit analysts,-
Financial analysts,1470
Personal financial advisors,1473
Insurance underwriters,1268
Financial examiners,-
Credit counselors and loan officers,1168
Tax examiners and collectors and revenue agents,-
Tax preparers,1028
Financial specialists all other,-
Professional and related occupations,1176
Computer and mathematical occupations,1539
Computer and information research scientists,-
Computer systems analysts,1521
Information security analysts,1635
Computer programmers,1591
Software developers applications and systems software,1864
Web developers,1333
Computer support specialists,1085
Database administrators,1493
Network and computer systems administrators,1430
Computer network architects,1765
Computer occupations all other,1226
Actuaries,-
Mathematicians,-
Operations research analysts,1418
Statisticians,1437
Miscellaneous mathematical science occupations,-
Architecture and engineering occupations,1484
Architects except naval,1464
Surveyors cartographers and photogrammetrists,-
Aerospace engineers,1788
Agricultural engineers,-
Biomedical engineers,-
Chemical engineers,1858
Civil engineers,1495
Computer hardware engineers,1772
Electrical and electronics engineers,1646
Environmental engineers,-
Industrial engineers including health and safety,1499
Marine engineers and naval architects,-
Materials engineers,-
Mechanical engineers,1562
Mining and geological engineers including mining safety engineers,-
Nuclear engineers,-
Petroleum engineers,-
Engineers all other,1575
Drafters,1021
Engineering technicians except drafters,1129
Surveying and mapping technicians,984
Life physical and social science occupations,1270
Agricultural and food scientists,-
Biological scientists,1250
Conservation scientists and foresters,-
Medical scientists,1319
Life scientists all other,-
Astronomers and physicists,-
Atmospheric and space scientists,-
Chemists and materials scientists,1284
Environmental scientists and geoscientists,1336
Physical scientists all other,1455
Economists,-
Survey researchers,-
Psychologists,1331
Sociologists,-
Urban and regional planners,-
Miscellaneous social scientists and related workers,-
Agricultural and food science technicians,-
Biological technicians,-
Chemical technicians,1002
Geological and petroleum technicians,-
Nuclear technicians,-
Social science research assistants,-
Miscellaneous life physical and social science technicians,862
Community and social service occupations,913
Counselors,941
Social workers,907
Probation officers and correctional treatment specialists,944
Social and human service assistants,749
Miscellaneous community and social service specialists including health educators and community health workers,881
Clergy,990
Directors religious activities and education,927
Religious workers all other,-
Legal occupations,1467
Lawyers,1947
Judicial law clerks,-
Judges magistrates and other judicial workers,1602
Paralegals and legal assistants,948
Miscellaneous legal support workers,1143
Education training and library occupations,1002
Postsecondary teachers,1439
Preschool and kindergarten teachers,648
Elementary and middle school teachers,1010
Secondary school teachers,1141
Special education teachers,1039
Other teachers and instructors,957
Archivists curators and museum technicians,-
Librarians,927
Library technicians,-
Teacher assistants,556
Other education training and library workers,1095
Arts design entertainment sports and media occupations,1086
Artists and related workers,1078
Designers,1060
Actors,-
Producers and directors,1224
Athletes coaches umpires and related workers,1044
Dancers and choreographers,-
Musicians singers and related workers,-
Entertainers and performers sports and related workers all other,-
